step,sub_step,comp_time_ms,sim_time,id,prefab_id,floor,cnode_orient,cnode_pos,x,y,orient,num_vert,num_attch_points,num_occ_nodes,length,width,max_width,drive,accel,ang_speed,lin_speed,vel_x,vel_y,vel_theta,num_vos,itinerary_size,active,stopped,just_stopped,moved,moved_back,not_move_cost,time_block_cor,time_not_block_cor,wait
28,0,3907,2.324,1,1,1,2,563,7.25,5.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.767176,-0.767176,0,0,0,1,0,0,0,0,0,0,0,0.0768703,
29,0,4000,2.407,1,1,1,2,191,7,5.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.877622,-0.877622,0,0,0,1,0,0,0,0,0,0,0,0.284861,
30,0,4094,2.49,1,1,1,2,191,7,5.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.877622,-0.877622,0,0,0,1,0,0,0,0,0,0,0,0.201861,
31,0,4188,2.573,1,1,1,2,191,7,5.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.877622,-0.877622,0,0,0,1,0,0,0,0,0,0,0,0.118861,
32,0,4282,2.656,1,1,1,2,191,7,5.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.877622,-0.877622,0,0,0,1,0,0,0,0,0,0,0,0.0358607,
33,0,4375,2.739,1,1,1,2,526,6.75,5.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02522,-1.02522,0,0,0,1,0,0,0,0,0,0,0,0.243851,
34,0,4469,2.822,1,1,1,2,526,6.75,5.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02522,-1.02522,0,0,0,1,0,0,0,0,0,0,0,0.160851,
35,0,4563,2.905,1,1,1,2,526,6.75,5.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02522,-1.02522,0,0,0,1,0,0,0,0,0,0,0,0.0778512,
36,0,4657,2.988,1,1,1,2,183,6.5,5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.87461,-0.87461,0,0,0,1,0,0,0,0,0,0,0,0.285842,
37,0,4750,3.071,1,1,1,2,183,6.5,5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.87461,-0.87461,0,0,0,1,0,0,0,0,0,0,0,0.202842,
38,0,4860,3.154,1,1,1,2,183,6.5,5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.87461,-0.87461,0,0,0,1,0,0,0,0,0,0,0,0.119842,
39,0,4969,3.237,1,1,1,2,183,6.5,5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.87461,-0.87461,0,0,0,1,0,0,0,0,0,0,0,0.0368416,
40,0,5047,3.32,1,1,1,2,528,6.25,4.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02111,-1.02111,0,0,0,1,0,0,0,0,0,0,0,0.244832,
41,0,5157,3.403,1,1,1,2,528,6.25,4.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02111,-1.02111,0,0,0,1,0,0,0,0,0,0,0,0.161832,
42,0,5235,3.486,1,1,1,2,528,6.25,4.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.02111,-1.02111,0,0,0,1,0,0,0,0,0,0,0,0.0788321,
43,0,5329,3.569,1,1,1,2,153,6,4.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.871619,-0.871619,0,0,0,1,0,0,0,0,0,0,0,0.286823,
44,0,5438,3.652,1,1,1,2,153,6,4.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.871619,-0.871619,0,0,0,1,0,0,0,0,0,0,0,0.203823,
45,0,5516,3.735,1,1,1,2,153,6,4.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.871619,-0.871619,0,0,0,1,0,0,0,0,0,0,0,0.120823,
46,0,5610,3.818,1,1,1,2,153,6,4.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.871619,-0.871619,0,0,0,1,0,0,0,0,0,0,0,0.0378226,
47,0,5704,3.901,1,1,1,2,496,5.75,4.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01703,-1.01703,0,0,0,1,0,0,0,0,0,0,0,0.245813,
48,0,5797,3.984,1,1,1,2,496,5.75,4.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01703,-1.01703,0,0,0,1,0,0,0,0,0,0,0,0.162813,
49,0,5891,4.067,1,1,1,2,496,5.75,4.25,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01703,-1.01703,0,0,0,1,0,0,0,0,0,0,0,0.079813,
50,0,5985,4.15,1,1,1,2,147,5.5,4,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.868648,-0.868648,0,0,0,1,0,0,0,0,0,0,0,0.287803,
51,0,6079,4.233,1,1,1,2,147,5.5,4,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.868648,-0.868648,0,0,0,1,0,0,0,0,0,0,0,0.204803,
52,0,6188,4.316,1,1,1,2,147,5.5,4,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.868648,-0.868648,0,0,0,1,0,0,0,0,0,0,0,0.121803,
53,0,6266,4.399,1,1,1,2,147,5.5,4,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.868648,-0.868648,0,0,0,1,0,0,0,0,0,0,0,0.0388035,
54,0,6391,4.482,1,1,1,2,490,5.25,3.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01299,-1.01299,0,0,0,1,0,0,0,0,0,0,0,0.246794,
55,0,6469,4.565,1,1,1,2,490,5.25,3.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01299,-1.01299,0,0,0,1,0,0,0,0,0,0,0,0.163794,
56,0,6579,4.648,1,1,1,2,490,5.25,3.75,45,4,3,11,1,0.4,0.918401,2,0.81,79.5208,1.215,-1.01299,-1.01299,0,0,0,1,0,0,0,0,0,0,0,0.0807939,
57,0,6672,4.731,1,1,1,2,113,5,3.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,-0.865698,-0.865698,0,0,0,1,0,0,0,0,0,0,0,0.288784,
58,0,6750,4.814,1,1,1,2,113,5,3.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
59,0,6860,4.897,1,1,1,2,113,5,3.5,45,4,3,8,1,0.4,0.918401,2,0.81,79.5208,1.215,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
