N
8.03333,9.67143,0,1,0,-1,
8.5,9.67143,1,1,0,-1,
8.96667,9.67143,2,1,0,-1,
8.03333,9.41429,3,1,0,-1,
8.5,9.41429,4,1,0,-1,
8.96667,9.41429,5,1,0,-1,
8.03333,9.15714,6,1,0,-1,
8.5,9.15714,7,1,0,-1,
8.96667,9.15714,8,1,0,-1,
8.03333,8.9,9,1,0,-1,
8.5,8.9,10,1,0,-1,
8.96667,8.9,11,1,0,-1,
8.03333,8.64286,12,1,0,-1,
8.5,8.64286,13,1,0,-1,
8.96667,8.64286,14,1,0,-1,
8.03333,8.38571,15,1,0,-1,
8.5,8.38571,16,1,0,-1,
8.96667,8.38571,17,1,0,-1,
8.03333,8.12857,18,1,0,-1,
8.5,8.12857,19,1,0,-1,
8.96667,8.12857,20,1,0,-1,
8.03333,7.87143,21,1,0,-1,
8.5,7.87143,22,1,0,-1,
8.96667,7.87143,23,1,0,-1,
8.03333,7.61429,24,1,0,-1,
8.5,7.61429,25,1,0,-1,
8.96667,7.61429,26,1,0,-1,
8.03333,7.35714,27,1,0,-1,
8.5,7.35714,28,1,0,-1,
8.96667,7.35714,29,1,0,-1,
8.03333,7.1,30,1,0,-1,
8.5,7.1,31,1,0,-1,
8.96667,7.1,32,1,0,-1,
8.03333,6.84286,33,1,0,-1,
8.5,6.84286,34,1,0,-1,
8.96667,6.84286,35,1,0,-1,
8.03333,6.58571,36,1,0,-1,
8.5,6.58571,37,1,0,-1,
8.96667,6.58571,38,1,0,-1,
8.03333,6.32857,39,1,0,-1,
8.5,6.32857,40,1,0,-1,
8.96667,6.32857,41,1,0,-1,
8,5.5,42,2,-1,-1,
8,6,43,2,-1,-1,
8,5,44,2,-1,-1,
8.5,6,45,2,-1,-1,
9,6,46,2,-1,-1,
9.5,6,47,2,-1,-1,
10,6,48,2,-1,-1,
10.5,6,49,2,-1,-1,
11,6,50,2,-1,-1,
11,5.5,51,2,-1,-1,
11,5,52,2,-1,-1,
10.5,5,53,2,-1,-1,
10,5,54,2,-1,-1,
9.5,5,55,2,-1,-1,
9,5,56,2,-1,-1,
8.5,5,57,2,-1,-1,
8.5,5.5,58,2,-1,-1,
9,5.5,59,2,-1,-1,
9.5,5.5,60,2,-1,-1,
10,5.5,61,2,-1,-1,
