38.75,18.75,37.25,18.75
35.75,18.75,35.75,18.25
35.75,18.25,33.75,18.25
39.25,18.25,39.25,17.75
39.25,16.25,39.25,15.75
35.25,15.75,35.25,15.25
35.25,15.25,34.25,15.25
37.75,15.75,37.75,15.25
37.75,15.25,38.75,15.25
34.25,15.25,34.25,13.75
34.25,13.75,35.75,13.75
35.75,13.75,35.75,13.25
35.75,13.25,36.75,13.25
29.25,25.25,31.75,25.25
33.25,25.25,35.75,25.25
0.25,9.75,-0.75,9.75
0.25,8.75,-0.75,8.75
-0.75,8.75,-0.75,8.25
-0.75,9.75,-0.75,10.25
4.75,0.25,4.75,-0.25
36.75,13.25,36.75,8.75
36.75,8.75,38.75,8.75
38.75,8.75,38.75,15.25
6.75,10.75,6.75,11.75
6.75,11.75,6.25,11.75
6.75,15.25,1.75,15.25
1.75,10.75,6.75,10.75
6.75,14.25,6.25,14.25
6.25,14.25,6.25,11.75
6.75,15.25,6.75,14.25
6.25,13.75,4.75,13.75
4.75,14.25,4.75,13.75
4.75,10.75,4.75,11.75
4.75,13.75,3.75,13.75
6.25,0.25,6.25,1.25
1.75,7.5,1.75,6.5
4.75,11.75,4.75,12.75
0.75,10.5,0.75,11.5
10.25,15.5,10.25,14.5
14.75,15.5,14.75,14.25
19.25,15.5,19.25,14.5
22.75,18.5,22.75,19.5
31.75,8.25,31.75,9.25
36.25,18.75,33.75,18.75
37.25,18.75,37.25,19.75
37.75,15.5,37.5,15.5
35.25,15.5,35.5,15.5
35.5,15.5,34.9975,14.6652
37.5,15.5,38.1046,14.702
39.25,17.75,40,17.75
39.25,16.25,40,16.25
0.25,12.25,-0.25,12.5
0.25,13.75,-0.25,13.5
-0.25,13.5,-0.25,12.5
0.25,16.25,-0.25,16.5
0.25,17.75,-0.25,17.5
-0.25,16.5,-0.25,17.5
-0.25,21.25,-0.75,21.5
-0.25,22.75,-0.75,22.5
-0.75,22.5,-0.75,21.5
2.25,25.25,2.5,25.75
3.5,25.75,3.75,25.25
3.5,25.75,2.5,25.75
8.75,24.75,9,25.25
10,25.25,10.25,24.75
9,25.25,10,25.25
13.25,24.75,13.5,25.25
14.5,25.25,14.75,24.75
14.5,25.25,13.5,25.25
17.75,24.75,18,25.25
19,25.25,19.25,24.75
19,25.25,18,25.25
22.75,24.75,23,25.25
24,25.25,24.25,24.75
24,25.25,23,25.25
27.75,25.25,28,25.75
29,25.75,29.25,25.25
29,25.75,28,25.75
35.75,25.25,36,25.75
37,25.75,37.25,25.25
37,25.75,36,25.75
27.25,18.5,27.25,18.75
27.25,18.5,27.25,18.25
29.25,18.5,29.25,18.25
29.25,18.5,29.25,18.75
26.25,18.75,27.25,18.75
29.25,18.75,31.25,18.75
31.25,18.25,29.25,18.25
33.25,8.25,33.5,8.75
31.75,8.25,31.5,8.75
31.5,8.75,31.25,8.75
